age_years,gender,ssc_percentage,hsc_percentage,degree_percentage,degree_specialization,technical_score,aptitude_score,communication_score,skills_match_percentage,certifications_count,internship_experience,years_of_experience,career_switch_willingness,relevant_experience,previous_ctc_lpa,expected_ctc_lpa,company_tier,job_role_match,competition_level,bond_requirement,notice_period_days,layoff_history,employment_gap_months,relocation_willingness,status
27,Male,75.267,76.971,75.032,Information Technology,56.219,65.011,75.189,61.656,1,Yes,2,Not Willing,Relevant,6.127,8.797,Tier 3,Matched,Medium,Not Required,15,No,0,Willing,Not Placed
23,Female,79.11,75.381,85.653,Mechanical,86.477,74.499,74.026,68.047,1,Yes,2,Willing,Relevant,3.667,7.059,Tier 2,Matched,Low,Not Required,60,No,3,Not Willing,Placed
29,Male,61.349,70.816,73.447,Others,69.524,49.996,72.285,82.197,3,No,2,Not Willing,Not Relevant,9.586,11.131,Tier 3,Matched,Medium,Not Required,30,No,3,Willing,Placed
26,Female,56.984,70.82,76.922,Computer Science,64.515,75.072,66.191,61.433,2,No,2,Not Willing,Relevant,1.738,8.646,Tier 2,Matched,Low,Not Required,30,No,0,Willing,Not Placed
23,Female,68.349,72.061,65.424,Information Technology,65.916,68.111,69.489,74.135,0,Yes,0,Willing,Not Relevant,6.21,7.319,Tier 1,Not Matched,High,Not Required,30,No,0,Willing,Not Placed
29,Male,61.385,69.708,66.758,Information Technology,79.968,56.629,59.633,93.978,2,Yes,0,Willing,Relevant,3.049,9.065,Tier 3,Matched,Low,Required,15,No,6,Willing,Placed
21,Female,67.804,81.019,82.581,Others,68.509,67.648,57.659,69.277,0,No,1,Not Willing,Relevant,1.914,6.756,Tier 2,Matched,Medium,Required,0,No,3,Willing,Not Placed
30,Male,65.177,83.079,87.819,Information Technology,40.0,60.685,61.907,57.965,2,Yes,0,Not Willing,Relevant,5.934,4.578,Tier 1,Matched,High,Required,0,No,0,Not Willing,Not Placed
23,Female,56.962,61.382,82.185,Others,66.503,50.72,59.753,66.239,2,Yes,1,Not Willing,Relevant,3.096,14.732,Tier 2,Matched,High,Not Required,30,No,0,Willing,Not Placed
21,Female,83.58,58.08,78.229,Information Technology,75.487,59.268,64.409,70.725,2,No,0,Not Willing,Relevant,6.733,3.425,Tier 3,Not Matched,Medium,Not Required,60,No,0,Willing,Not Placed
22,Female,71.011,79.511,74.115,Others,72.138,73.101,70.065,86.576,1,No,0,Willing,Not Relevant,1.24,9.306,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
32,Female,76.979,80.105,69.102,Electronics,68.659,65.4,81.143,69.938,0,No,3,Willing,Relevant,3.517,3.0,Tier 1,Not Matched,Medium,Not Required,0,No,12,Willing,Placed
28,Female,52.431,57.503,75.694,Computer Science,61.072,66.457,74.128,66.562,2,Yes,0,Willing,Relevant,4.952,9.894,Tier 1,Matched,High,Not Required,15,No,0,Willing,Not Placed
27,Male,64.092,73.162,71.1,Computer Science,81.627,54.6,75.137,82.562,0,No,0,Willing,Relevant,5.9,4.834,Tier 3,Not Matched,Low,Not Required,90,Yes,0,Willing,Not Placed
22,Female,64.577,76.546,78.439,Computer Science,75.666,67.474,71.63,55.98,3,No,2,Not Willing,Relevant,1.485,9.511,Tier 2,Matched,Low,Not Required,0,No,3,Not Willing,Not Placed
22,Female,77.988,88.823,83.476,Mechanical,64.696,60.842,74.201,84.481,3,No,0,Not Willing,Not Relevant,5.952,7.306,Tier 2,Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
29,Male,83.632,72.322,69.044,Others,64.67,63.845,95.671,75.955,1,Yes,0,Not Willing,Not Relevant,7.633,11.069,Tier 1,Matched,High,Not Required,15,Yes,0,Willing,Not Placed
33,Female,60.493,75.743,76.703,Mechanical,54.355,59.488,78.286,54.408,4,No,3,Not Willing,Not Relevant,5.273,3.0,Tier 3,Not Matched,Low,Not Required,0,No,0,Not Willing,Not Placed
33,Male,71.289,61.155,85.623,Information Technology,57.768,62.575,48.84,63.892,0,Yes,0,Not Willing,Not Relevant,6.057,4.993,Tier 1,Matched,High,Not Required,15,No,0,Willing,Not Placed
26,Female,80.32,72.043,68.581,Electronics,81.16,60.122,65.773,76.007,1,No,2,Willing,Relevant,3.647,3.5,Tier 1,Matched,Low,Not Required,15,No,0,Not Willing,Placed
25,Female,64.534,60.089,80.74,Information Technology,65.464,49.607,57.951,74.421,3,No,2,Not Willing,Relevant,6.974,10.19,Tier 3,Matched,Medium,Required,0,No,0,Not Willing,Not Placed
30,Male,63.807,61.64,71.653,Computer Science,95.046,58.622,77.045,59.806,4,No,2,Willing,Not Relevant,7.507,4.708,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Placed
26,Male,74.136,72.061,75.229,Electronics,72.627,59.244,50.271,77.943,2,Yes,2,Willing,Relevant,3.373,3.833,Tier 1,Matched,High,Not Required,0,No,0,Willing,Placed
29,Female,57.201,79.101,74.03,Information Technology,64.24,80.429,60.819,90.675,2,Yes,2,Willing,Relevant,1.411,10.129,Tier 2,Matched,Medium,Not Required,15,No,0,Willing,Placed
31,Male,53.659,74.383,77.414,Electronics,58.331,75.273,71.026,82.925,2,No,0,Willing,Relevant,8.126,3.0,Tier 1,Matched,High,Not Required,0,No,6,Willing,Not Placed
27,Female,50.0,85.819,81.769,Electronics,79.595,54.108,45.0,63.465,1,Yes,0,Willing,Not Relevant,4.911,12.859,Tier 1,Matched,Low,Not Required,60,No,0,Willing,Not Placed
30,Male,75.492,76.013,82.207,Others,82.608,54.336,65.643,66.721,1,Yes,1,Not Willing,Not Relevant,7.455,4.658,Tier 2,Matched,High,Not Required,0,No,0,Willing,Placed
30,Male,80.945,68.334,73.356,Others,55.816,73.112,72.714,59.719,1,No,2,Willing,Not Relevant,8.609,9.382,Tier 3,Matched,High,Not Required,0,Yes,6,Willing,Not Placed
34,Male,70.06,75.128,78.113,Information Technology,81.3,72.413,50.313,79.58,3,No,2,Not Willing,Relevant,1.823,8.759,Tier 3,Matched,Medium,Required,0,No,0,Willing,Placed
29,Male,78.089,72.404,81.597,Mechanical,67.332,62.98,72.339,78.213,1,Yes,0,Willing,Not Relevant,4.71,8.166,Tier 1,Matched,High,Not Required,60,No,0,Willing,Not Placed
24,Male,52.815,66.734,81.402,Computer Science,61.727,60.926,61.991,70.064,2,No,2,Willing,Relevant,6.71,3.377,Tier 2,Matched,Medium,Required,15,Yes,0,Willing,Not Placed
22,Female,74.776,85.809,73.051,Others,73.889,87.018,73.903,87.053,3,Yes,0,Not Willing,Not Relevant,3.05,8.521,Tier 1,Not Matched,Low,Not Required,0,No,6,Not Willing,Not Placed
32,Female,71.153,56.842,66.661,Computer Science,74.955,61.023,66.295,65.951,1,Yes,2,Willing,Relevant,3.968,7.865,Tier 3,Matched,High,Not Required,0,No,0,Not Willing,Placed
28,Male,63.046,68.885,76.416,Information Technology,70.891,53.132,48.305,57.898,1,Yes,2,Not Willing,Relevant,5.038,5.721,Tier 2,Matched,Low,Not Required,30,No,0,Willing,Placed
24,Female,72.914,82.254,70.91,Information Technology,51.247,74.252,87.862,76.482,1,Yes,0,Willing,Relevant,3.222,5.953,Tier 1,Matched,Low,Required,0,No,0,Willing,Not Placed
33,Male,84.345,66.11,81.19,Others,82.855,60.487,71.87,63.126,1,Yes,5,Willing,Relevant,6.38,5.61,Tier 1,Matched,High,Not Required,0,No,3,Not Willing,Placed
29,Female,77.305,86.166,70.016,Information Technology,64.299,51.396,51.668,82.122,0,No,4,Not Willing,Relevant,4.775,10.309,Tier 1,Matched,High,Not Required,15,No,6,Not Willing,Not Placed
24,Male,65.139,50.828,77.568,Others,71.135,64.936,75.595,59.789,4,Yes,0,Not Willing,Relevant,1.541,5.951,Tier 1,Matched,High,Not Required,0,No,0,Willing,Not Placed
28,Male,65.175,66.16,76.509,Computer Science,72.367,75.935,57.131,85.79,2,No,1,Not Willing,Relevant,6.127,8.231,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
29,Female,70.003,78.006,64.318,Electronics,72.894,66.737,69.616,57.694,3,Yes,4,Not Willing,Not Relevant,5.136,10.903,Tier 2,Matched,Low,Required,30,No,3,Willing,Placed
33,Male,74.763,63.146,73.54,Others,56.629,58.546,46.854,68.71,1,No,2,Not Willing,Relevant,6.249,10.799,Tier 2,Not Matched,High,Not Required,20,No,3,Not Willing,Not Placed
29,Female,63.642,73.293,67.009,Mechanical,66.665,73.772,62.007,87.55,0,No,1,Not Willing,Relevant,6.092,3.177,Tier 1,Matched,Medium,Not Required,0,No,0,Willing,Placed
30,Male,84.283,72.061,74.409,Computer Science,58.058,54.214,52.051,63.884,2,Yes,4,Not Willing,Relevant,2.32,5.962,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Not Placed
24,Male,69.54,85.479,57.392,Electronics,73.531,63.138,64.147,78.641,0,Yes,1,Not Willing,Not Relevant,5.477,8.177,Tier 2,Matched,Low,Not Required,15,Yes,0,Willing,Not Placed
21,Male,79.11,87.686,77.299,Computer Science,67.012,70.177,55.552,73.935,0,No,3,Willing,Relevant,7.785,8.136,Tier 1,Matched,Low,Not Required,15,No,0,Not Willing,Placed
23,Female,67.299,77.872,84.105,Others,45.742,56.444,68.904,61.29,1,No,1,Not Willing,Relevant,5.708,11.555,Tier 3,Not Matched,Low,Required,30,Yes,0,Willing,Not Placed
29,Male,87.516,78.589,76.379,Information Technology,67.389,76.753,58.177,71.367,1,No,4,Willing,Relevant,5.851,6.479,Tier 3,Not Matched,High,Not Required,15,No,0,Willing,Placed
24,Female,72.908,72.061,84.587,Mechanical,82.926,52.678,58.19,78.236,1,No,0,Not Willing,Relevant,2.643,7.411,Tier 2,Matched,High,Not Required,0,No,3,Willing,Not Placed
25,Female,55.292,74.168,78.189,Electronics,66.862,70.469,50.895,77.272,1,Yes,2,Not Willing,Relevant,5.497,5.473,Tier 2,Matched,High,Not Required,20,No,12,Willing,Placed
27,Female,63.13,71.032,77.115,Others,57.866,55.901,68.07,83.065,0,Yes,1,Not Willing,Relevant,4.193,7.204,Tier 1,Matched,High,Not Required,0,No,18,Willing,Not Placed
25,Female,73.751,70.852,74.294,Computer Science,87.616,62.031,69.868,78.023,0,No,0,Willing,Not Relevant,4.597,4.607,Tier 2,Matched,Low,Required,90,No,3,Not Willing,Not Placed
24,Male,82.196,64.377,70.842,Electronics,70.305,60.998,66.559,89.94,0,No,3,Not Willing,Relevant,2.255,8.604,Tier 3,Matched,High,Not Required,0,No,3,Willing,Placed
22,Male,71.357,57.159,59.723,Electronics,62.465,73.415,53.466,69.25,0,No,3,Not Willing,Relevant,4.718,7.139,Tier 3,Matched,Low,Not Required,15,No,0,Willing,Not Placed
22,Male,60.239,65.844,75.844,Others,62.837,64.594,59.864,70.461,3,Yes,4,Not Willing,Relevant,4.853,8.313,Tier 1,Not Matched,High,Not Required,90,No,0,Not Willing,Not Placed
33,Male,69.306,83.095,73.677,Mechanical,54.907,43.431,66.194,74.413,1,Yes,4,Not Willing,Relevant,4.843,5.253,Tier 2,Matched,Low,Not Required,15,No,0,Willing,Not Placed
33,Female,73.06,71.519,69.109,Others,83.423,79.908,64.842,70.213,4,No,2,Not Willing,Relevant,1.0,9.213,Tier 2,Matched,Low,Not Required,30,No,18,Willing,Not Placed
24,Female,76.507,82.296,79.645,Others,64.54,61.254,66.17,47.816,0,No,0,Not Willing,Not Relevant,2.531,3.576,Tier 1,Matched,High,Not Required,60,No,0,Willing,Not Placed
30,Female,81.489,80.693,76.798,Others,72.571,70.489,58.235,62.064,0,Yes,5,Not Willing,Not Relevant,2.913,9.339,Tier 3,Matched,Medium,Not Required,0,No,0,Willing,Placed
33,Male,80.039,67.739,71.841,Others,82.543,82.788,77.437,69.444,1,No,1,Willing,Relevant,1.797,5.286,Tier 1,Matched,High,Not Required,30,No,0,Willing,Placed
30,Female,70.003,74.246,66.9,Others,95.668,55.051,64.994,70.639,1,Yes,0,Not Willing,Not Relevant,4.001,7.102,Tier 2,Matched,Low,Not Required,60,No,0,Willing,Placed
33,Female,56.879,63.318,73.754,Mechanical,94.43,65.037,75.513,84.871,5,No,0,Not Willing,Relevant,5.769,10.238,Tier 1,Matched,Low,Required,0,No,0,Willing,Placed
29,Male,77.566,81.418,73.345,Information Technology,74.94,57.086,79.182,61.227,2,Yes,2,Not Willing,Not Relevant,5.406,3.0,Tier 2,Matched,High,Not Required,0,No,3,Willing,Placed
28,Male,66.052,75.236,66.642,Information Technology,52.463,63.018,54.866,71.218,3,No,0,Willing,Not Relevant,3.149,12.966,Tier 1,Matched,Low,Not Required,30,No,6,Willing,Not Placed
23,Male,82.88,78.891,60.286,Mechanical,55.622,75.344,63.779,80.41,0,Yes,0,Not Willing,Relevant,4.797,12.575,Tier 1,Matched,High,Not Required,60,No,0,Willing,Not Placed
34,Male,75.262,66.337,78.966,Computer Science,46.717,80.349,68.661,75.773,3,Yes,0,Not Willing,Relevant,2.721,5.126,Tier 2,Matched,Medium,Not Required,90,No,6,Willing,Not Placed
29,Male,68.28,64.25,68.313,Others,66.029,68.239,73.314,58.865,1,No,3,Willing,Not Relevant,6.132,4.281,Tier 1,Matched,Medium,Not Required,0,No,12,Willing,Placed
34,Male,86.939,61.038,82.02,Computer Science,58.392,59.728,78.58,64.266,0,No,4,Not Willing,Not Relevant,4.455,8.688,Tier 3,Matched,Medium,Not Required,15,No,0,Willing,Not Placed
25,Male,73.704,71.477,73.231,Computer Science,64.235,71.164,56.617,100.0,0,No,1,Not Willing,Not Relevant,2.635,3.975,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Placed
31,Female,79.788,77.486,73.816,Mechanical,63.39,45.749,59.279,51.601,2,Yes,0,Not Willing,Relevant,5.368,9.672,Tier 3,Matched,Low,Not Required,60,No,3,Willing,Not Placed
23,Female,64.054,77.874,70.406,Electronics,74.773,66.881,64.515,67.728,1,Yes,3,Not Willing,Relevant,9.153,6.027,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Placed
25,Female,62.236,72.304,73.483,Computer Science,72.593,95.441,47.291,63.906,0,No,2,Willing,Not Relevant,1.0,3.0,Tier 2,Matched,Low,Not Required,0,No,12,Not Willing,Not Placed
33,Male,52.583,70.802,69.423,Computer Science,57.476,67.949,69.486,71.247,1,Yes,0,Willing,Relevant,5.428,8.997,Tier 2,Matched,Medium,Not Required,60,Yes,0,Willing,Not Placed
30,Male,77.305,75.419,83.912,Electronics,76.011,62.288,65.378,70.79,0,Yes,2,Willing,Relevant,4.578,3.796,Tier 3,Matched,Low,Not Required,60,No,18,Willing,Placed
33,Female,67.544,86.866,69.754,Electronics,89.041,52.989,88.693,67.639,1,No,2,Not Willing,Relevant,4.901,5.229,Tier 2,Not Matched,Low,Not Required,15,No,3,Willing,Placed
24,Male,88.618,52.847,71.812,Computer Science,56.417,69.425,55.683,62.428,3,Yes,0,Not Willing,Not Relevant,4.303,8.977,Tier 1,Matched,Low,Not Required,30,No,6,Willing,Not Placed
28,Female,72.417,80.784,77.017,Others,61.78,72.568,70.728,85.343,0,No,0,Not Willing,Relevant,3.78,9.037,Tier 2,Matched,Medium,Not Required,30,No,6,Willing,Not Placed
33,Male,72.48,62.654,70.845,Computer Science,74.332,50.32,80.792,82.397,4,No,0,Willing,Relevant,5.221,5.624,Tier 1,Matched,High,Not Required,0,No,6,Not Willing,Not Placed
32,Female,81.034,66.498,66.346,Information Technology,56.508,60.237,59.64,76.675,2,No,0,Willing,Relevant,2.337,6.502,Tier 3,Matched,High,Required,0,No,0,Willing,Not Placed
25,Female,68.412,68.118,81.418,Information Technology,69.978,45.647,63.006,78.365,1,Yes,0,Willing,Relevant,5.446,7.989,Tier 1,Matched,Medium,Not Required,30,Yes,3,Not Willing,Not Placed
30,Male,66.11,84.223,62.658,Mechanical,89.548,47.661,68.32,68.296,0,Yes,2,Not Willing,Relevant,6.346,12.068,Tier 3,Not Matched,Medium,Not Required,0,No,0,Willing,Placed
32,Male,60.526,79.33,66.794,Mechanical,65.284,75.337,74.632,98.667,3,Yes,3,Not Willing,Relevant,7.35,4.195,Tier 1,Not Matched,High,Not Required,0,No,0,Willing,Placed
28,Male,70.497,72.739,80.418,Electronics,61.367,79.808,68.875,65.588,1,No,2,Not Willing,Not Relevant,6.376,11.33,Tier 2,Matched,Low,Not Required,0,No,3,Willing,Not Placed
29,Male,73.075,85.396,77.043,Electronics,76.965,61.53,61.532,55.726,0,Yes,4,Not Willing,Relevant,6.372,9.756,Tier 2,Matched,Low,Not Required,0,No,0,Willing,Placed
24,Female,65.833,78.013,86.504,Electronics,50.418,87.589,55.58,100.0,0,No,2,Willing,Relevant,4.941,11.196,Tier 3,Matched,High,Not Required,0,No,0,Willing,Not Placed
27,Female,81.285,67.024,70.362,Computer Science,72.881,84.363,45.0,98.047,0,Yes,0,Not Willing,Relevant,3.661,5.713,Tier 2,Matched,Low,Required,30,No,0,Willing,Placed
22,Female,54.358,68.136,69.601,Others,69.473,54.276,73.793,55.663,0,Yes,1,Not Willing,Relevant,3.397,9.678,Tier 2,Matched,High,Not Required,0,No,0,Willing,Not Placed
26,Female,76.308,70.318,66.399,Computer Science,82.749,71.024,75.886,58.386,0,Yes,1,Not Willing,Not Relevant,6.162,9.539,Tier 1,Matched,Low,Not Required,15,No,12,Willing,Placed
28,Female,61.589,84.365,74.601,Information Technology,40.0,70.965,45.584,71.83,4,Yes,3,Not Willing,Relevant,5.533,5.854,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Not Placed
32,Female,76.525,84.151,74.65,Mechanical,74.494,44.186,56.363,67.566,2,Yes,0,Not Willing,Relevant,6.411,8.603,Tier 2,Not Matched,High,Not Required,0,No,0,Willing,Not Placed
27,Male,71.099,71.7,76.099,Computer Science,100.0,97.893,56.868,72.92,2,Yes,5,Not Willing,Relevant,1.68,4.384,Tier 2,Matched,Low,Not Required,60,No,6,Not Willing,Placed
27,Female,70.003,82.537,73.839,Information Technology,73.066,63.923,65.733,62.996,1,Yes,1,Willing,Relevant,1.0,7.778,Tier 1,Matched,Low,Required,15,Yes,0,Willing,Not Placed
28,Male,74.512,66.91,83.404,Information Technology,79.612,62.629,76.902,77.217,0,Yes,0,Not Willing,Relevant,6.4,12.453,Tier 3,Matched,Medium,Not Required,0,No,0,Not Willing,Not Placed
27,Female,76.321,68.384,79.839,Information Technology,59.119,61.026,73.035,71.277,1,Yes,3,Not Willing,Relevant,9.645,13.153,Tier 1,Not Matched,Low,Not Required,0,No,0,Willing,Not Placed
25,Male,67.726,74.328,85.712,Mechanical,68.399,77.432,72.763,70.913,0,Yes,1,Not Willing,Relevant,3.131,7.85,Tier 3,Not Matched,Low,Not Required,30,No,0,Willing,Not Placed
27,Male,72.94,69.064,74.374,Mechanical,54.939,80.607,59.912,82.087,0,Yes,1,Not Willing,Relevant,3.098,5.98,Tier 2,Not Matched,Medium,Not Required,90,No,18,Willing,Not Placed
33,Female,75.764,62.646,83.894,Others,67.114,68.578,55.907,83.453,2,Yes,0,Willing,Relevant,4.781,7.626,Tier 1,Matched,High,Not Required,15,Yes,18,Willing,Not Placed
34,Male,82.533,69.528,79.705,Computer Science,65.327,61.111,71.085,99.579,2,Yes,0,Willing,Relevant,9.029,5.779,Tier 2,Matched,Low,Not Required,0,No,0,Not Willing,Placed
30,Female,74.152,72.304,75.088,Computer Science,50.647,51.52,64.859,66.258,1,No,1,Willing,Relevant,7.792,8.392,Tier 2,Matched,Low,Required,0,No,3,Willing,Not Placed
23,Male,67.007,83.961,79.972,Computer Science,64.712,69.626,83.033,61.89,1,Yes,4,Not Willing,Relevant,1.0,10.962,Tier 2,Matched,High,Required,0,No,0,Willing,Placed
25,Female,85.051,71.546,73.425,Mechanical,81.578,64.748,65.881,76.671,1,No,0,Not Willing,Not Relevant,5.414,8.543,Tier 1,Matched,Low,Not Required,0,No,3,Not Willing,Not Placed
27,Male,80.449,71.859,66.546,Electronics,97.323,66.518,65.171,51.972,2,Yes,2,Willing,Relevant,4.203,4.879,Tier 3,Matched,Low,Not Required,30,No,0,Willing,Not Placed
29,Female,77.974,74.633,77.512,Mechanical,71.905,55.652,84.041,65.277,0,Yes,2,Not Willing,Not Relevant,4.738,14.044,Tier 2,Matched,Medium,Not Required,30,No,3,Willing,Not Placed
22,Female,72.317,74.075,77.283,Information Technology,53.468,62.327,50.683,85.68,2,No,1,Willing,Relevant,1.748,6.114,Tier 1,Matched,High,Not Required,15,No,6,Willing,Not Placed
24,Female,69.632,76.598,65.85,Computer Science,55.294,72.153,64.644,71.83,5,No,0,Not Willing,Relevant,7.426,6.758,Tier 3,Matched,Medium,Not Required,30,No,0,Willing,Not Placed
32,Male,57.677,72.69,78.624,Mechanical,49.244,73.176,45.973,67.361,0,Yes,4,Not Willing,Relevant,6.971,6.706,Tier 2,Matched,Low,Not Required,30,Yes,0,Willing,Not Placed
27,Female,79.664,69.526,79.476,Computer Science,53.998,71.524,68.626,88.226,1,Yes,0,Not Willing,Relevant,7.62,13.416,Tier 3,Matched,High,Required,15,No,6,Not Willing,Not Placed
21,Female,50.0,64.996,83.392,Electronics,76.099,64.293,59.91,79.95,2,No,1,Not Willing,Relevant,2.52,8.984,Tier 3,Matched,Low,Not Required,60,No,3,Willing,Placed
33,Female,71.73,81.94,73.627,Electronics,77.806,61.596,65.261,84.756,0,No,0,Not Willing,Not Relevant,6.129,11.812,Tier 1,Not Matched,Low,Not Required,0,No,0,Willing,Not Placed
22,Female,67.722,59.71,70.67,Mechanical,57.618,68.446,66.025,59.91,3,Yes,1,Not Willing,Relevant,3.121,3.0,Tier 1,Matched,High,Not Required,0,No,18,Willing,Not Placed
29,Male,74.266,65.849,86.455,Computer Science,59.837,67.967,73.498,64.509,1,No,1,Willing,Relevant,4.469,4.178,Tier 1,Matched,Medium,Not Required,0,Yes,0,Willing,Not Placed
33,Male,67.957,72.061,80.347,Computer Science,82.911,55.964,72.874,92.838,0,No,1,Not Willing,Relevant,8.612,8.281,Tier 1,Not Matched,Medium,Not Required,15,No,6,Willing,Not Placed
30,Male,71.202,74.607,64.989,Others,67.885,59.109,69.282,91.076,1,Yes,0,Willing,Relevant,5.189,4.915,Tier 2,Matched,High,Not Required,0,No,0,Not Willing,Placed
27,Female,65.84,68.299,75.76,Information Technology,59.672,57.045,73.096,100.0,0,Yes,0,Not Willing,Relevant,9.072,12.23,Tier 3,Matched,Low,Not Required,0,No,0,Willing,Not Placed
32,Male,71.051,57.717,73.546,Information Technology,63.325,79.863,61.438,65.422,0,Yes,1,Not Willing,Relevant,8.172,8.025,Tier 1,Not Matched,Low,Not Required,0,No,18,Willing,Not Placed
30,Male,63.817,75.582,71.449,Computer Science,64.983,69.164,65.471,82.654,2,No,1,Not Willing,Relevant,1.705,8.662,Tier 1,Matched,Low,Not Required,30,No,6,Willing,Not Placed
27,Male,69.676,72.869,73.988,Others,80.793,61.994,51.995,52.319,0,No,1,Not Willing,Relevant,3.017,6.221,Tier 2,Matched,Low,Not Required,0,No,6,Willing,Not Placed
26,Male,63.388,56.1,81.895,Computer Science,78.12,68.122,67.095,62.844,1,Yes,0,Not Willing,Relevant,1.224,14.02,Tier 2,Matched,Medium,Not Required,30,No,6,Willing,Not Placed
23,Male,84.21,65.438,66.493,Computer Science,69.937,61.048,72.73,62.71,2,Yes,1,Not Willing,Relevant,1.27,11.233,Tier 1,Matched,Low,Not Required,30,No,0,Willing,Not Placed
30,Male,57.359,70.861,86.94,Computer Science,48.955,83.073,68.909,65.483,3,Yes,3,Not Willing,Relevant,4.458,11.072,Tier 3,Matched,Medium,Not Required,15,No,3,Willing,Not Placed
23,Female,62.503,79.938,72.283,Information Technology,66.893,53.188,77.192,81.514,2,No,1,Not Willing,Relevant,2.583,4.482,Tier 1,Not Matched,Low,Not Required,90,No,3,Willing,Not Placed
22,Female,67.005,56.643,81.644,Information Technology,76.793,59.607,55.185,69.474,2,Yes,0,Not Willing,Not Relevant,5.259,9.809,Tier 2,Not Matched,Low,Required,30,No,0,Not Willing,Not Placed
31,Male,66.104,68.435,68.302,Mechanical,59.301,48.277,84.859,78.811,1,Yes,1,Not Willing,Relevant,5.308,4.224,Tier 2,Matched,Medium,Not Required,30,No,0,Willing,Not Placed
26,Female,76.641,78.858,77.909,Electronics,83.225,75.437,54.11,72.047,1,Yes,0,Willing,Relevant,3.254,8.665,Tier 3,Not Matched,Medium,Not Required,0,No,6,Willing,Not Placed
24,Female,70.008,66.071,65.234,Computer Science,56.135,53.331,73.479,87.731,2,Yes,3,Willing,Relevant,8.142,3.701,Tier 1,Matched,Low,Not Required,0,Yes,0,Willing,Not Placed
25,Female,63.909,63.507,73.805,Others,60.434,51.065,69.149,53.813,1,Yes,0,Not Willing,Relevant,8.775,12.685,Tier 3,Not Matched,Low,Required,15,No,0,Willing,Not Placed
23,Female,67.045,86.303,75.598,Electronics,64.794,80.197,65.164,62.503,1,No,2,Not Willing,Not Relevant,4.121,6.407,Tier 1,Not Matched,Medium,Not Required,0,Yes,0,Willing,Not Placed
26,Female,75.09,59.39,84.766,Mechanical,75.914,86.01,53.437,54.002,2,Yes,5,Willing,Not Relevant,6.043,9.195,Tier 1,Not Matched,Medium,Not Required,0,No,3,Not Willing,Not Placed
31,Male,52.385,70.466,69.828,Electronics,60.598,47.001,69.916,73.521,4,No,5,Not Willing,Relevant,1.944,7.725,Tier 3,Not Matched,Medium,Required,0,No,0,Not Willing,Not Placed
32,Male,61.097,73.528,67.956,Mechanical,48.233,63.007,45.128,76.923,1,Yes,1,Willing,Not Relevant,1.0,10.248,Tier 2,Matched,Low,Not Required,60,No,0,Willing,Not Placed
23,Female,67.279,79.309,83.619,Computer Science,64.984,59.83,74.802,72.84,0,No,4,Not Willing,Not Relevant,7.827,6.812,Tier 1,Matched,High,Not Required,15,No,3,Not Willing,Placed
34,Male,71.742,77.869,77.681,Mechanical,72.553,51.363,66.683,78.655,2,No,0,Not Willing,Not Relevant,4.222,5.428,Tier 1,Matched,Medium,Not Required,0,No,6,Willing,Not Placed
34,Male,69.675,77.543,75.075,Mechanical,87.145,54.46,65.928,59.517,3,No,1,Willing,Relevant,1.257,7.034,Tier 1,Matched,Low,Not Required,20,No,3,Willing,Placed
28,Male,71.886,74.302,74.003,Computer Science,86.279,79.789,77.625,73.743,3,Yes,1,Not Willing,Not Relevant,2.925,3.893,Tier 3,Matched,High,Not Required,30,No,0,Willing,Placed
29,Male,68.936,74.58,78.777,Mechanical,62.594,64.642,62.363,82.919,2,Yes,2,Not Willing,Relevant,1.0,6.421,Tier 1,Not Matched,Low,Required,30,No,3,Willing,Not Placed
24,Male,75.737,80.072,73.416,Mechanical,58.402,66.997,60.817,83.345,0,Yes,1,Not Willing,Relevant,4.539,3.159,Tier 3,Matched,High,Not Required,30,No,6,Not Willing,Not Placed
29,Male,67.646,86.316,69.103,Others,58.485,73.969,62.989,46.69,2,Yes,1,Willing,Not Relevant,4.839,12.412,Tier 3,Matched,Low,Not Required,90,No,3,Willing,Not Placed
32,Male,64.048,68.25,69.075,Mechanical,60.804,80.549,61.778,88.768,0,No,1,Not Willing,Relevant,6.783,9.678,Tier 2,Matched,Medium,Not Required,0,No,0,Willing,Placed
27,Female,60.131,58.554,76.603,Information Technology,63.854,68.395,68.407,62.396,2,No,1,Not Willing,Not Relevant,3.494,6.856,Tier 2,Matched,Medium,Required,30,No,6,Willing,Not Placed
23,Female,67.505,77.312,80.666,Others,69.523,61.591,66.255,77.033,1,Yes,0,Not Willing,Relevant,7.838,7.751,Tier 2,Matched,High,Not Required,0,No,0,Willing,Placed
27,Female,68.86,69.715,77.461,Information Technology,65.576,54.062,63.056,64.984,4,No,2,Willing,Relevant,4.072,10.622,Tier 1,Matched,Medium,Not Required,0,No,12,Willing,Not Placed
